label	seq	is_dark	mean	top_decile
live	0	false	30.70	121.61
live	2	true	0.77	5.58
live	3	false	24.76	104.95
live	4	true	0.90	6.02
live	5	false	25.25	109.13
live	6	true	1.01	6.44
live	7	false	26.04	113.86
live	8	true	1.12	6.86
live	9	false	27.10	118.99
live	10	true	1.24	7.33
live	11	false	28.23	124.36
live	12	true	1.32	7.70
live	13	false	29.26	129.03
live	14	true	1.38	7.90
live	15	false	29.47	128.89
live	16	true	1.46	8.23
live	17	false	30.47	133.67
live	18	true	1.52	8.44
live	19	false	30.73	133.94
live	20	true	1.56	8.56
live	21	false	30.86	134.13
live	22	true	1.59	8.65
live	23	false	30.87	133.75
live	24	true	1.61	8.71
live	25	false	30.77	132.69
live	26	true	1.63	8.76
live	27	false	30.72	132.22
live	28	true	1.64	8.78
live	29	false	30.68	132.17
live	30	true	1.66	8.80
live	31	false	30.67	132.36
live	32	true	1.66	8.80
live	33	false	30.64	132.38
live	34	true	1.67	8.82
live	35	false	30.61	132.44
live	36	true	1.68	8.83
live	37	false	30.58	132.31
live	38	true	1.69	8.84
live	39	false	30.53	132.21
live	40	true	1.69	8.83
live	41	false	30.49	132.11
live	42	true	1.70	8.84
live	43	false	30.45	131.98
live	44	true	1.71	8.85
