label	seq	is_dark	mean	top_decile
phone-spoof	0	false	201.55	255.00
phone-spoof	2	true	1.07	7.15
phone-spoof	3	false	172.57	255.00
phone-spoof	4	true	1.05	6.74
phone-spoof	5	false	153.97	255.00
phone-spoof	6	true	0.98	6.02
phone-spoof	7	false	138.10	255.00
phone-spoof	8	true	0.90	5.31
phone-spoof	9	false	126.06	255.00
phone-spoof	10	true	0.81	4.58
phone-spoof	11	false	116.35	255.00
phone-spoof	12	true	0.62	3.22
phone-spoof	13	false	98.62	255.00
phone-spoof	14	true	0.51	2.44
phone-spoof	15	false	84.92	255.00
phone-spoof	16	true	0.42	1.68
phone-spoof	17	false	74.55	255.00
phone-spoof	18	true	0.38	1.37
phone-spoof	19	false	63.50	255.00
phone-spoof	20	true	0.36	1.16
phone-spoof	21	false	53.00	254.85
phone-spoof	22	true	0.34	1.04
phone-spoof	23	false	48.65	251.72
phone-spoof	24	true	0.34	1.01
phone-spoof	25	false	39.31	232.16
phone-spoof	26	true	0.34	1.01
phone-spoof	27	false	31.28	201.34
phone-spoof	28	true	0.34	1.01
phone-spoof	29	false	27.96	185.79
phone-spoof	30	true	0.34	1.01
phone-spoof	31	false	25.01	171.21
phone-spoof	32	true	0.34	1.01
phone-spoof	33	false	22.26	155.82
phone-spoof	34	true	0.34	1.01
phone-spoof	35	false	19.50	139.87
phone-spoof	36	true	0.34	1.01
phone-spoof	37	false	16.76	122.49
phone-spoof	38	true	0.34	1.01
phone-spoof	39	false	15.46	114.00
phone-spoof	40	true	0.34	1.01
phone-spoof	41	false	14.35	106.64
phone-spoof	42	true	0.34	1.01
phone-spoof	43	false	14.26	106.52
phone-spoof	44	true	0.34	1.01
